Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_100,VGND,li1,52.2100,43.5200,0.000060
FILLER_12_97,VGND,li1,50.8300,43.5200,0.000060
FILLER_12_94,VGND,li1,49.4500,43.5200,0.000060
FILLER_12_91,VGND,li1,48.0700,43.5200,0.000060
FILLER_12_88,VGND,li1,46.6900,43.5200,0.000060
FILLER_12_68,VGND,li1,37.0300,43.5200,0.000054
FILLER_12_65,VGND,li1,36.1100,43.5200,0.000054
FILLER_12_62,VGND,li1,34.7300,43.5200,0.000048
FILLER_12_59,VGND,li1,33.3500,43.5200,0.000048
FILLER_12_56,VGND,li1,31.9700,43.5200,0.000043
FILLER_12_53,VGND,li1,30.5900,43.5200,0.000038
FILLER_12_50,VGND,li1,29.2100,43.5200,0.000038
FILLER_12_47,VGND,li1,27.8300,43.5200,0.000032
FILLER_12_32,VGND,li1,20.7000,43.5200,0.000028
FILLER_12_29,VGND,li1,19.5500,43.5200,0.000028
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000028
FILLER_12_24,VGND,li1,17.2500,43.5200,0.000028
FILLER_12_14,VGND,li1,12.1900,43.5200,0.000029
FILLER_12_11,VGND,li1,11.2700,43.5200,0.000029
FILLER_11_131,VGND,li1,66.4700,43.5200,0.000060
FILLER_11_128,VGND,li1,65.0900,43.5200,0.000060
FILLER_11_125,VGND,li1,63.7100,43.5200,0.000060
FILLER_11_122,VGND,li1,62.3300,43.5200,0.000060
FILLER_11_119,VGND,li1,60.9500,43.5200,0.000060
FILLER_11_116,VGND,li1,59.5700,43.5200,0.000060
FILLER_11_113,VGND,li1,58.1900,43.5200,0.000060
FILLER_11_109,VGND,li1,56.3500,43.5200,0.000060
FILLER_11_106,VGND,li1,54.9700,43.5200,0.000060
FILLER_11_103,VGND,li1,53.5900,43.5200,0.000060
FILLER_11_100,VGND,li1,52.2100,43.5200,0.000060
FILLER_11_97,VGND,li1,50.8300,43.5200,0.000060
FILLER_11_94,VGND,li1,49.4500,43.5200,0.000060
FILLER_11_91,VGND,li1,48.0700,43.5200,0.000060
FILLER_11_88,VGND,li1,46.6900,43.5200,0.000060
FILLER_11_85,VGND,li1,45.3100,43.5200,0.000060
FILLER_11_82,VGND,li1,43.9300,43.5200,0.000060
FILLER_11_60,VGND,li1,33.5800,43.5200,0.000048
FILLER_11_57,VGND,li1,32.4300,43.5200,0.000043
FILLER_11_42,VGND,li1,25.0700,43.5200,0.000027
FILLER_11_39,VGND,li1,24.1500,43.5200,0.000027
FILLER_11_36,VGND,li1,22.7700,43.5200,0.000027
FILLER_11_33,VGND,li1,21.3900,43.5200,0.000027
FILLER_11_30,VGND,li1,20.0100,43.5200,0.000028
FILLER_11_27,VGND,li1,18.6300,43.5200,0.000028
FILLER_11_24,VGND,li1,17.2500,43.5200,0.000028
FILLER_10_133,VGND,li1,66.9300,38.0800,0.000006
FILLER_10_130,VGND,li1,66.0100,38.0800,0.000006
FILLER_10_127,VGND,li1,64.6300,38.0800,0.000006
FILLER_10_124,VGND,li1,63.2500,38.0800,0.000006
FILLER_10_121,VGND,li1,61.8700,38.0800,0.000006
FILLER_10_118,VGND,li1,60.4900,38.0800,0.000006
FILLER_10_115,VGND,li1,59.1100,38.0800,0.000006
FILLER_10_112,VGND,li1,57.7300,38.0800,0.000006
FILLER_10_109,VGND,li1,56.3500,38.0800,0.000006
FILLER_10_106,VGND,li1,54.9700,38.0800,0.000006
FILLER_10_103,VGND,li1,53.5900,38.0800,0.000006
FILLER_10_100,VGND,li1,52.2100,38.0800,0.000006
FILLER_10_97,VGND,li1,50.8300,38.0800,0.000006
FILLER_10_94,VGND,li1,49.4500,38.0800,0.000006
FILLER_10_91,VGND,li1,48.0700,38.0800,0.000006
FILLER_10_88,VGND,li1,46.6900,38.0800,0.000006
FILLER_10_85,VGND,li1,45.3100,38.0800,0.000006
FILLER_10_83,VGND,li1,43.9300,38.0800,0.000006
FILLER_10_80,VGND,li1,43.0100,38.0800,0.000006
FILLER_10_64,VGND,li1,35.4200,38.0800,0.000006
FILLER_10_61,VGND,li1,34.2700,38.0800,0.000006
FILLER_10_58,VGND,li1,32.8900,38.0800,0.000006
FILLER_10_55,VGND,li1,31.5100,38.0800,0.000006
FILLER_10_52,VGND,li1,30.1300,38.0800,0.000006
FILLER_10_41,VGND,li1,25.0700,38.0800,0.000005
FILLER_10_38,VGND,li1,23.6900,38.0800,0.000005
FILLER_10_35,VGND,li1,22.3100,38.0800,0.000005
FILLER_10_32,VGND,li1,20.9300,38.0800,0.000005
FILLER_10_29,VGND,li1,19.5500,38.0800,0.000005
FILLER_10_25,VGND,li1,17.7100,38.0800,0.000005
FILLER_10_22,VGND,li1,16.3300,38.0800,0.000005
FILLER_10_11,VGND,li1,11.0400,38.0800,0.000006
FILLER_9_133,VGND,li1,66.9300,38.0800,0.000006
FILLER_9_130,VGND,li1,66.0100,38.0800,0.000006
FILLER_9_127,VGND,li1,64.6300,38.0800,0.000006
FILLER_9_124,VGND,li1,63.2500,38.0800,0.000006
FILLER_9_121,VGND,li1,61.8700,38.0800,0.000006
FILLER_9_111,VGND,li1,56.8100,38.0800,0.000006
FILLER_9_108,VGND,li1,55.8900,38.0800,0.000006
FILLER_9_105,VGND,li1,54.5100,38.0800,0.000006
FILLER_9_102,VGND,li1,53.1300,38.0800,0.000006
FILLER_9_99,VGND,li1,51.7500,38.0800,0.000006
FILLER_9_96,VGND,li1,50.3700,38.0800,0.000006
FILLER_9_93,VGND,li1,48.9900,38.0800,0.000006
FILLER_9_90,VGND,li1,47.6100,38.0800,0.000006
FILLER_9_87,VGND,li1,46.2300,38.0800,0.000006
FILLER_9_72,VGND,li1,38.8700,38.0800,0.000006
