Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_8_22,VGND,li1,16.3300,32.6400,0.000010
FILLER_8_6,VGND,li1,8.5100,32.6400,0.000010
FILLER_8_3,VGND,li1,7.5900,32.6400,0.000010
FILLER_7_113,VGND,li1,57.7300,32.6400,0.000018
FILLER_7_110,VGND,li1,56.5800,32.6400,0.000018
FILLER_7_107,VGND,li1,55.4300,32.6400,0.000018
FILLER_7_98,VGND,li1,50.8300,32.6400,0.000017
FILLER_7_95,VGND,li1,49.9100,32.6400,0.000017
FILLER_7_92,VGND,li1,48.5300,32.6400,0.000016
FILLER_7_89,VGND,li1,47.1500,32.6400,0.000016
FILLER_7_86,VGND,li1,45.7700,32.6400,0.000016
FILLER_7_83,VGND,li1,44.3900,32.6400,0.000015
FILLER_7_80,VGND,li1,43.0100,32.6400,0.000015
FILLER_7_72,VGND,li1,39.3300,32.6400,0.000014
FILLER_7_69,VGND,li1,37.9500,32.6400,0.000013
FILLER_7_66,VGND,li1,36.5700,32.6400,0.000013
FILLER_7_63,VGND,li1,35.1900,32.6400,0.000012
FILLER_7_60,VGND,li1,33.8100,32.6400,0.000012
FILLER_7_57,VGND,li1,32.4300,32.6400,0.000011
FILLER_7_44,VGND,li1,26.4500,32.6400,0.000009
FILLER_7_35,VGND,li1,22.3100,32.6400,0.000008
FILLER_7_32,VGND,li1,20.9300,32.6400,0.000008
FILLER_7_29,VGND,li1,19.5500,32.6400,0.000009
FILLER_7_6,VGND,li1,8.7400,32.6400,0.000010
FILLER_7_3,VGND,li1,7.5900,32.6400,0.000010
FILLER_6_91,VGND,li1,48.0700,27.2000,0.000037
FILLER_6_88,VGND,li1,46.6900,27.2000,0.000035
FILLER_6_85,VGND,li1,45.3100,27.2000,0.000035
FILLER_6_81,VGND,li1,43.4700,27.2000,0.000034
FILLER_6_73,VGND,li1,39.3300,27.2000,0.000030
FILLER_6_70,VGND,li1,38.4100,27.2000,0.000029
FILLER_6_67,VGND,li1,37.0300,27.2000,0.000027
FILLER_6_64,VGND,li1,35.6500,27.2000,0.000027
FILLER_6_56,VGND,li1,31.9700,27.2000,0.000024
FILLER_6_53,VGND,li1,30.5900,27.2000,0.000022
FILLER_6_44,VGND,li1,26.2200,27.2000,0.000016
FILLER_6_41,VGND,li1,25.0700,27.2000,0.000016
FILLER_6_38,VGND,li1,23.6900,27.2000,0.000018
FILLER_6_35,VGND,li1,22.3100,27.2000,0.000018
FILLER_6_32,VGND,li1,20.9300,27.2000,0.000019
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000020
FILLER_5_113,VGND,li1,57.7300,27.2000,0.000041
FILLER_5_102,VGND,li1,52.9000,27.2000,0.000040
